Plot,Date,ALHU,AMCR,AMRO,ANHU,BGGN,BHGR,BLPH,BRCR,BTPI,BUSH,CALT,CASJ,CBCH,CEDW,CORA,DEJU,DOWO,FOSP,GCKI,GCSP,GHOW,HAWO,HETH,HOFI,HOOR,HOWR,HUVI,LAZB,LEGO,LISP,MODO,NAWA,NOFL,NUWO,NWWA,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBNU,RBSA,RCKI,RECR,RSHA,RTHA,RU/ALHU,RUHU,SOSP,SPTO,STJA,SWTH,TOWA,VATH,WAVI,WCSP,WEFL,WETA,WIWA,WWPE,YEWA,YRWA
12. North Ridge,10/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
12. North Ridge,11/5/2023,,,,,,,,,,,,1,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,,1,,,,,,1,,,,1,,,,,,,,,1
12. North Ridge,11/23/2023,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
12. North Ridge,12/3/2023,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,
13. Medical,1/19/2023,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
13. Medical,1/23/2023,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
13. Medical,2/1/2023,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
13. Medical,2/16/2023,,,,1,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,,,1,,,,1,,,,,,,,,,,,,
13. Medical,3/5/2023,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
13. Medical,3/26/2023,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,
13. Medical,4/6/2023,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,
13. Medical,4/23/2023,1,,,,,,,,,,,,,,2,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
13. Medical,7/9/2023,,,,,,,,,,,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
13. Medical,7/23/2023,,,,1,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,
