Plot,Viewshed,Date,Grand_Total,ACWO,ALHU,AMCR,AMRO,ANHU,BEWR,BGGN,BHCO,BHGR,BLPH,BRCR,BTPI,BTYW,BUOR,BUSH,CALT,CASJ,CBCH,CEDW,COHA,CORA,DEJU,DOWO,FOSP,GCKI,GCSP,GHOW,HAWO,HETH,HEWA,HOFI,HOOR,HOOR ,HOWR,HUVI,LAZB,LEGO,LISP,MODO,NAWA,NOFL,NOPA,NUWO,NWWA,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBGR,RBNU,RBSA,RCKI,RECR,RMPA,ROPI,RSHA,RTHA,RU/ALHU,RUHU,SOSP,SPTO,SSHA,STJA,SUTA,SWTH,TOWA,UNKW,VATH,WAVI,WCSP,WEBL,WEFL,WETA,WIFL,WIWA,WOOD,WTSP,WWPE,YEWA,YRWA,ZONO
1,Edgewood,11/23/2022,10,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,12/5/2022,7,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,
1,Edgewood,12/20/2022,9,,,,,1,,,,,,,,,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,
1,Edgewood,1/19/2023,12,,,,1,1,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,
1,Edgewood,1/23/2023,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,2/1/2023,13,,,,1,1,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,
1,Edgewood,2/16/2023,13,,,,,1,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,1,
1,Edgewood,3/5/2023,11,,1,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,3/26/2023,7,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,
1,Edgewood,4/6/2023,12,,1,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,
1,Edgewood,4/23/2023,12,,1,,1,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,1,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,5/4/23,12,,1,,,1,,,,,,1,,,,1,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,
1,Edgewood,5/22/23,9,,1,,1,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,
1,Edgewood,6/5/23,10,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,6/25/23,9,,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
1,Edgewood,7/9/2023,10,,1,,1,,,,,,,,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,7/23/2023,9,,,,1,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,08/06/2023,11,,,,1,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,8/27/2023,10,,,,1,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,
1,Edgewood,9/10/2023,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,9/24/2023,6,,,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,10/11/2023,10,,,,,1,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
